latitude,longitude
-6.1803094,35.7396401
-6.1808095,35.7411854
-6.1806720,35.7399993
-6.1806798,35.7389820
-6.1812425,35.7383378
-6.1800721,35.7419340
-6.1807038,35.7414023
-6.1834645,35.7462969
-6.1837929,35.7462369
-6.1843171,35.7492446
-6.1835620,35.7447020
-6.1835778,35.7445788
-6.1853218,35.7476861
-6.1815636,35.7495184
-6.1813129,35.7480486
-6.1812036,35.7474008
-6.1814003,35.7468746
-6.1811003,35.7468464
-6.1792109,35.7394906
-6.1797122,35.7394334
-6.1795787,35.7407319
-6.1783661,35.7410883
-6.1783282,35.7405377
-6.1785214,35.7400212
-6.1771790,35.7409152
-6.1774963,35.7385589
-6.1788803,35.7417990
-6.1785615,35.7414888
-6.1793365,35.7419943
-6.1770997,35.7391477
-6.1767365,35.7390426
-6.1763944,35.7390618
-6.1755589,35.7395973
-6.1750842,35.7409831
-6.1780356,35.7468550
-6.1770167,35.7465691
-6.1770796,35.7469328
-6.1784037,35.7489713
-6.1782137,35.7478474
-6.1794956,35.7467329
-6.1746623,35.7457536
-6.1864737,35.7554243
-6.1854536,35.7496831
-6.1914383,35.7510405
-6.1858900,35.7521656
-6.1818466,35.7521373
-6.1815023,35.7521385
-6.1819687,35.7524559
-6.1818709,35.7526173
-6.1815443,35.7526596
-6.1813914,35.7524883
-6.1813750,35.7524116
-6.1809947,35.7528999
-6.1752894,35.7553764
-6.1750406,35.7504995
-6.1785840,35.7499584
-6.1749585,35.7631284
-6.1745841,35.7638096
-6.1744988,35.7637283
-6.1744217,35.7634277
-6.1745715,35.7631761
-6.1747538,35.7631006
-6.1751946,35.7634744
-6.1751232,35.7637144
-6.1749218,35.7638617
-6.1751202,35.7632578
-6.1753183,35.7625097
-6.1668541,35.7373760
-6.1664170,35.7370529
-6.1716075,35.7439074
-6.1712290,35.7434539
-6.1738284,35.7449260
-6.1737006,35.7454195
-6.1735253,35.7464404
-6.1735397,35.7471879
-6.1721943,35.7475618
-6.1721986,35.7481101
-6.1722835,35.7481773
-6.1722999,35.7489015
-6.1723821,35.7491052
-6.1738754,35.7490910
-6.1721183,35.7443209
-6.1724174,35.7445947
-6.1734136,35.7452823
-6.1661115,35.7428409
-6.1661328,35.7417828
-6.1671948,35.7411076
-6.1675337,35.7405593
-6.1675366,35.7399909
